Expenses,OB_HO,Last Folder_HO,Actual_HO,Variance OB_HO,Variance LF_HO,OB_Bawal,Last Folder_Bawal,Actual_Bawal,Variance OB_Bawal,Variance LF_Bawal,OB_Chennai,Last Folder_Chennai,Actual_Chennai,Variance OB_Chennai,Variance LF_Chennai,OB_Roorkee,Last Folder_Roorkee,Actual_Roorkee,Variance OB_Roorkee,Variance LF_Roorkee,OB_T16,Last Folder_T16,Actual_T16,Variance OB_T16,Variance LF_T16,OB_NPAU,Last Folder_NPAU,Actual_NPAU,Variance OB_NPAU,Variance LF_NPAU,OB_KAU,Last Folder_KAU,Actual_KAU,Variance OB_KAU,Variance LF_KAU,OB_BAU,Last Folder_BAU,Actual_BAU,Variance OB_BAU,Variance LF_BAU,OB_Gujarat,Last Folder_Gujarat,Actual_Gujarat,Variance OB_Gujarat,Variance LF_Gujarat,OB_Total,Last Folder_Total,Actual_Total,Variance OB_Total,Variance LF_Total,Month
Bilaspur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YTD Mar'19
AFM Kolkata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,60000.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,60000.0,60000.0,YTD Mar'19
TOTAL Warehouses (D),0.0,0.0,0.0,0.0,0.0,29860770.22079999,29860770.22079999,34080998.0,-4220227.77920001,-4220227.77920001,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,0.0,60000.0,60000.0,0.0,0.0,30000.0,-30000.0,-30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29920770.22079999,29920770.22079999,34110998.0,-4190227.77920001,-4190227.77920001,YTD Mar'19
Subcontractors,0.0,0.0,0.0,0.0,0.0,1207702.2312,1207702.2312,1207702.2312,0.0,0.0,17002635.0,17002635.0,17002635.0,0.0,0.0,6329418.999999999,6329418.999999999,7483255.53,-1153836.5300000012,-1153836.5300000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871488.0,871488.0,401318.8841332391,470169.1158667609,470169.1158667609,0.0,0.0,0.0,0.0,0.0,25411244.2312,25411244.2312,26094911.645333238,-683667.4141332395,-683667.4141332395,YTD Mar'19
Assigned Personnels(Incl I.Tax Paid),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YTD Mar'19
Good Work Reward,0.0,0.0,0.0,0.0,0.0,720000.0,720000.0,2443686.0,-1723686.0,-1723686.0,1185800.0,1185800.0,4709439.0,-3523639.0,-3523639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,1915800.0,1915800.0,7153125.0,-5237325.0,-5237325.0,YTD Mar'19
Attendance Incentive,0.0,0.0,0.0,0.0,0.0,935100.0,935100.0,262785.0,672315.0,672315.0,1126918.9716120001,1177918.971612,683200.0,443718.97161200014,494718.9716119999,239700.0,239700.0,90942.0,148758.0,148758.0,270000.0,270000.0,0.0,270000.0,270000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2571718.971612,2622718.971612,1036927.0,1534791.971612,1585791.971612,YTD Mar'19
Night Attendance Incentive to Operators,0.0,0.0,0.0,0.0,0.0,1350700.0,1350700.0,1180820.0,169880.0,169880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350700.0,1350700.0,1180820.0,169880.0,169880.0,YTD Mar'19
Leave Encashment,0.0,0.0,0.0,0.0,0.0,8990088.08421873,8990088.08421873,9465051.0,-474962.9157812707,-474962.9157812707,6155045.384615391,6421622.338461546,5932020.0,223025.38461539056,489602.3384615462,334903.07692307694,334903.07692307694,306994.4871794872,27908.58974358975,27908.58974358975,266080.7384615385,266080.7384615385,217547.99999999942,48532.73846153909,48532.73846153909,11200.000000000002,11200.000000000002,18440.44,-7240.439999999997,-7240.439999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100037.04,-100037.04,-100037.04,0.0,0.0,0.0,0.0,0.0,15757317.284218736,16023894.23806489,16040090.967179487,-282773.68296075054,-16196.7291145958,YTD Mar'19
Overtime,0.0,0.0,0.0,0.0,0.0,1000000.0000000001,1000000.0000000001,2560412.0,-1560412.0,-1560412.0,8300000.0,8654231.01401923,9862035.890000002,-1562035.8900000025,-1207804.875980772,1042860.769230769,1042860.769230769,2128988.0,-1086127.230769231,-1086127.230769231,957890.6584615383,957890.6584615383,2873161.0,-1915270.3415384619,-1915270.3415384619,25846.15384615384,25846.15384615384,17200.0,8646.15384615384,8646.15384615384,0.0,0.0,0.0,0.0,0.0,600000.0,600000.0,651149.0,-51149.0,-51149.0,0.0,0.0,0.0,0.0,0.0,11926597.581538461,12280828.595557693,18092945.89,-6166348.308461539,-5812117.294442307,YTD Mar'19
