Expenses,OB_HO,Last Folder_HO,Actual_HO,Variance OB_HO,Variance LF_HO,OB_Bawal,Last Folder_Bawal,Actual_Bawal,Variance OB_Bawal,Variance LF_Bawal,OB_Chennai,Last Folder_Chennai,Actual_Chennai,Variance OB_Chennai,Variance LF_Chennai,OB_Roorkee,Last Folder_Roorkee,Actual_Roorkee,Variance OB_Roorkee,Variance LF_Roorkee,OB_T16,Last Folder_T16,Actual_T16,Variance OB_T16,Variance LF_T16,OB_NPAU,Last Folder_NPAU,Actual_NPAU,Variance OB_NPAU,Variance LF_NPAU,OB_KAU,Last Folder_KAU,Actual_KAU,Variance OB_KAU,Variance LF_KAU,OB_BAU,Last Folder_BAU,Actual_BAU,Variance OB_BAU,Variance LF_BAU,OB_Gujarat,Last Folder_Gujarat,Actual_Gujarat,Variance OB_Gujarat,Variance LF_Gujarat,OB_Total,Last Folder_Total,Actual_Total,Variance OB_Total,Variance LF_Total
Bilaspur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFM Kolkata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,0.0,20000.0,20000.0
TOTAL Warehouses (D),0.0,0.0,0.0,0.0,0.0,2477397.5183999995,2477397.5183999995,2597150.0,-119752.48160000052,-119752.48160000052,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,0.0,0.0,0.0,0.0,0.0,1094.0,-1094.0,-1094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2497397.5183999995,2497397.5183999995,2598244.0,-100846.48160000052,-100846.48160000052
Subcontractors,0.0,0.0,0.0,0.0,0.0,88930.8576,88930.8576,88930.8576,0.0,0.0,1478490.0,1478490.0,1478490.0,0.0,0.0,527451.5833333334,527451.5833333334,542658.5,-15206.916666666628,-15206.916666666628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72624.0,72624.0,0.0,72624.0,72624.0,0.0,0.0,0.0,0.0,0.0,2167496.4409333332,2167496.4409333332,2110079.3575999998,57417.08333333349,57417.08333333349
Assigned Personnels(Incl I.Tax Paid),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Good Work Reward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-219303.0,219303.0,219303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-219303.0,219303.0,219303.0
Attendance Incentive,0.0,0.0,0.0,0.0,0.0,83520.0,83520.0,0.0,83520.0,83520.0,99773.324301,99773.324301,67600.0,32173.324301,32173.324301,19975.0,19975.0,8063.0,11912.0,11912.0,22500.0,22500.0,0.0,22500.0,22500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225768.324301,225768.324301,75663.0,150105.324301,150105.324301
Night Attendance Incentive to Operators,0.0,0.0,0.0,0.0,0.0,120640.00000000001,120640.00000000001,132200.0,-11559.999999999985,-11559.999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120640.00000000001,120640.00000000001,132200.0,-11559.999999999985,-11559.999999999985
Leave Encashment,0.0,0.0,0.0,0.0,0.0,749174.0070182276,749174.0070182276,749174.01,-0.0029817724134773016,-0.0029817724134773016,512920.4487179493,512920.4487179493,475613.57,37306.878717949265,37306.878717949265,27908.58974358974,27908.58974358974,27908.58974358974,0.0,0.0,22173.39487179487,22173.39487179487,56896.0,-34722.605128205134,-34722.605128205134,933.3333333333334,933.3333333333334,18440.44,-17507.106666666667,-17507.106666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1313109.7736848947,1313109.7736848947,1328032.6097435898,-14922.836058695102,-14922.836058695102
Overtime,0.0,0.0,0.0,0.0,0.0,83333.33333333333,83333.33333333333,83333.33,0.003333333326736465,0.003333333326736465,700000.0,700000.0,1677261.0,-977261.0,-977261.0,80059.23076923075,80059.23076923075,154401.0,-74341.76923076925,-74341.76923076925,79824.22153846154,79824.22153846154,230234.0,-150409.77846153846,-150409.77846153846,2153.846153846154,2153.846153846154,0.0,2153.846153846154,2153.846153846154,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,144230.0,-94230.0,-94230.0,0.0,0.0,0.0,0.0,0.0,995370.6317948718,995370.6317948718,2289459.33,-1294088.6982051283,-1294088.6982051283
